branch,division,group_name,description,qty,total_amount
Stories Bir Hasan,HOT BAR SECTION,TEA,ADD ENGLISH BREAKFAST TEA BAG,8.0,292.79
Stories Bir Hasan,HOT BAR SECTION,TEA,ADD EARL GREY LAVENDER BAG,12.0,426.13
Stories Bir Hasan,HOT BAR SECTION,TEA,ADD GREEN TEA BAG,6.0,200.0
Stories Bir Hasan,HOT BAR SECTION,TEA,ADD SOUTHERN MINT HERBAL TEA BAG,9.0,300.0
Stories Bir Hasan,HOT BAR SECTION,TEA,GOLDEN CHAMOMILE HERBAL TEA MEDIUM,62.0,9030.03
Stories Bir Hasan,HOT BAR SECTION,TEA,SWEET GINGER PEACH BLACK TEA MEDIUM,68.0,10192.19
Stories Bir Hasan,HOT BAR SECTION,TEA,ADD GOLDEN CHAMOMILE HERBAL TEA BAG,10.0,333.33
Stories Bir Hasan,HOT BAR SECTION,TEA,ADD SWEET GINGER PEACH BLACK TEA BAG,15.0,517.42
Stories Bir Hasan,HOT BAR SECTION,TEA,BOMBAY CHAI BLACK TEA MEDIUM,41.0,6000.0
Stories Bir Hasan,HOT BAR SECTION,TEA,ADD BOMBAY CHAI TEA BAG,6.0,200.0
Stories Bir Hasan,HOT BAR SECTION,TEA,MEDITERRANEAN CARAMEL TEA MEDIUM,20.0,3358.86
Stories Bir Hasan,HOT BAR SECTION,TEA,LEMONGRASS&ORANGE TEA MEDIUM,16.0,2354.35
Stories Bir Hasan,HOT BAR SECTION,TEA,ADD MEDITERRANEAN CARAMEL TEA BAG,1.0,33.33
Stories Bir Hasan,HOT BAR SECTION,TEA,ADD LEMONGRASS&ORANGE TEA BAG,2.0,84.08
Stories Bir Hasan,HOT BAR SECTION,BEANS,YIRGACHEFFE BEANS 250G,22.0,13939.94
Stories Bir Hasan,HOT BAR SECTION,BEANS,HOUSE BLEND BEANS 250G,45.125,23214.41
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED AMERICANO SMALL,329.0,60657.16
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED AMERICANO MEDIUM,348.0,81989.2
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED LATTE SMALL,1888.0,295020.42
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED LATTE MEDIUM,2605.0,621121.77
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED MOCHA SMALL,338.0,54684.68
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED MOCHA MEDIUM,339.0,92755.56
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED WHITE MOCHA SMALL,1249.0,256086.85
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED WHITE MOCHA MEDIUM,1888.0,515809.13
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED AMERICANO LARGE,123.0,33878.61
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED LATTE LARGE,708.0,199489.73
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED MOCHA LARGE,69.0,21593.96
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED WHITE MOCHA LARGE,501.0,155063.09
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,DOUBLE SHOT SHAKEN MEDIUM,1013.0,243831.81
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,DOUBLE SHOT SHAKEN LARGE,193.0,54185.35
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED MATCHA LATTE SMALL,953.0,192352.97
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED MATCHA LATTE MEDIUM,1651.0,402051.29
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED MATCHA LATTE LARGE,775.0,221634.24
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,DOUBLE SHOT SHAKEN SMALL,1286.0,166815.62
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED CARAMEL MACCHIATO SMALL,791.0,187752.28
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED CARAMEL MACCHIATO MEDIUM,1642.0,454097.9
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED CARAMEL MACCHIATO LARGE,417.0,133285.62
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED TOFFEE NUT LATTE SMALL,31.0,7376.7
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED TOFFEE NUT LATTE MEDIUM,96.0,25806.13
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED CLASSIC CHOC MEDIUM,54.0,14766.13
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED CLASSIC CHOC SMALL,37.0,8665.59
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,BLUE NADE,332.0,89044.32
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED DOUBLE SHOT TOFFEE NUT SMALL,6.0,1428.42
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED DOUBLE SHOT TOFFEE NUT MEDIUM,3.0,800.24
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,SIGNATURE ICED CHOCOLATE SMALL,9.0,1921.92
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,SIGNATURE ICED CHOCOLATE MEDIUM,12.0,3360.36
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED TOFFEE NUT LATTE LARGE,16.0,5267.87
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED CLASSIC CHOC LARGE,10.0,3145.95
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,SIGNATURE ICED CHOCOLATE LARGE,3.0,912.91
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED SPANISH LATTE SMALL,662.0,158023.48
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED SPANISH LATTE MEDIUM,1249.0,377626.18
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED SALTED CARAMEL LATTE SMALL,173.0,40807.87
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED SALTED CARAMEL LATTE MEDIUM,326.0,91862.82
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED SALTED CARAMEL LATTE LARGE,78.0,26349.25
Stories Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,COLD BREW BOTTLE,436.0,59258.26
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,COFFEE FRAPPE SMALL,225.0,43743.06
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,COFFEE FRAPPE MEDIUM,229.0,53259.07
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,CARAMEL FRAPP SMALL,1640.0,384807.72
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,CARAMEL FRAPP MEDIUM,2287.0,634455.14
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,CARAMEL FRAPP LARGE,846.0,276544.61
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,COFFEE FRAPP LARGE,181.0,48653.69
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,MOCHA FRAPP SMALL,375.0,83627.09
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,MOCHA FRAPP MEDIUM,725.0,197497.3
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,MOCHA FRAPP LARGE,303.0,91741.29
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,ESPRESSO FRAPP SMALL,420.0,78662.16
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,ESPRESSO FRAPP MEDIUM,618.0,143655.98
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,ESPRESSO FRAPP LARGE,130.0,34910.99
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,VANILLA CREAM FRAPP SMALL,147.0,32336.64
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,VANILLA CREAM FRAPP MEDIUM,140.0,36749.19
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,VANILLA CREAM FRAPP LARGE,42.0,12720.84
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,WHITE MOCHA FRAPP SMALL,268.0,61754.5
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,WHITE MOCHA FRAPP MEDIUM,413.0,110217.3
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,WHITE MOCHA FRAPP LARGE,165.0,50469.37
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,WHITE MOCHA CREAM FRAPP SMALL,38.0,8269.04
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,WHITE MOCHA CREAM FRAPP MEDIUM,71.0,18906.31
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,CHOCOLATE CREAM FRAPP MEDIUM,396.0,108678.32
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,CHOCOLATE CREAM FRAPP LARGE,53.0,14921.86
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,WHITE MOCHA CREAM FRAPP LARGE,33.0,10013.84
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,CHOCOLATE CREAM FRAP SMALL,283.0,63877.45
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,CARAMEL CREAM FRAPP MEDIUM,305.0,83562.52
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,CARAMEL CREAM FRAPP LARGE,53.0,16764.29
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,CARAMEL CREAM FRAPP SMALL,391.0,89490.9
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,MATCHA CREAM FRAPP SMALL,160.0,33093.81
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,MATCHA CREAM FRAPP MEDIUM,248.0,65878.44
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,MATCHA CREAM FRAPP LARGE,130.0,40027.6
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,STRAWBERRY CREAM FRAPP SMALL,674.0,150796.07
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,STRAWBERRY CREAM FRAPP MEDIUM,512.0,140754.23
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,STRAWBERRY CREAM FRAPP LARGE,144.0,43479.88
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,VANILLA FRAP SMALL,113.0,26294.35
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,VANILLA FRAPP MEDIUM,129.0,34279.64
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,VANILLA FRAPP LARGE,14.0,4231.65
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,HAZELNUT FRAPP SMALL,25.0,6027.15
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,HAZELNUT FRAPP MEDIUM,54.0,14554.96
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,HAZELNUT FRAPP LARGE,5.0,1410.81
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,TOFFEENUT FRAP SMALL,12.0,3047.2
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,TOFFEENUT FRAP MEDIUM,36.0,10334.7
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,TOFFEENUT CREAM FRAP SMALL,4.0,1070.26
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,TOFFEENUT CREAM FRAP MEDIUM,10.0,2905.37
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,TOFFEENUT CREAM FRAP LARGE,2.0,700.0
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,TOFFEENUT FRAP LARGE,12.0,4167.57
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,SALTED CARAMEL FRAPPE SMALL,73.0,18120.67
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,SALTED CARAMEL CREAM FRAPPE SMALL,26.0,6635.79
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,SALTED CARAMEL CREAM FRAPPE MEDIUM,66.0,19179.64
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,SALTED CARAMEL CREAM FRAPPE LARGE,23.0,7453.75
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,SALTED CARAMEL FRAPPE MEDIUM,170.0,49231.14
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,SALTED CARAMEL FRAPPE LARGE,108.0,36028.53
Stories Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,STRAWBERRY SHAKE,3.0,990.99
Stories Bir Hasan,COLD BAR SECTION,ICE TEA,ICED PEACH TEA SMALL,314.0,31801.23
Stories Bir Hasan,COLD BAR SECTION,ICE TEA,ICED PEACH TEA MEDIUM,177.0,43202.4
Stories Bir Hasan,COLD BAR SECTION,ICE TEA,ICED LEMON TEA SMALL,6.0,1400.0
Stories Bir Hasan,COLD BAR SECTION,ICE TEA,ICED LEMON TEA MEDIUM,2.0,533.33
Stories Bir Hasan,COLD BAR SECTION,ICE TEA,ICED PEACH TEA LARGE,78.0,21673.51
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD CARAMEL SMALL,653.0,14660.36
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD VANILLA SMALL,547.0,15523.84
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD HAZELNUT SMALL,309.5,9922.94
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD CARAMEL MEDIUM,1438.0,47414.51
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD VANILLA MEDIUM,1382.0,45809.01
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD HAZELNUT MEDIUM,391.0,12891.2
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD SHOT,8074.5,238823.39
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD WHIPPED CREAM,945.0,32782.52
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD MOCHA SMALL,32.0,695.59
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD WHITE MOCHA SMALL,1654.0,26646.94
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD CARAMEL DRIZZLE,939.0,31348.02
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD CHOCOLATE DRIZZLE,299.0,10161.11
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD CARAMEL LARGE,477.0,15990.03
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD VANILLA LARGE,583.0,19528.95
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD HAZELNUT LARGE,129.0,4395.14
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD CARAMEL SF MEDIUM,1113.0,37294.2
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD CARAMEL SF LARGE,361.0,12098.5
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD VANILLA SF SMALL,1362.0,45294.36
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD VANILLA SF MEDIUM,1624.0,53374.42
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD VANILLA SF LARGE,575.0,19318.14
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD CARAMEL SF SMALL,1184.0,39863.36
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD YIRGACHEFFE SHOT,372.0,12602.58
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,REPLACE 1 SHOT YIRGACHEFFE,2017.0,132464.38
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,REPLACE 2 SHOT YIRGACHEFFE,1843.0,120424.44
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,REPLACE 3 SHOT YIRGACHEFFE,300.0,19814.53
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,NO WHIPPED CREAM,147.0,0.0
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD WHITE MOCHA MEDIUM,1155.0,37790.81
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD WHITE MOCHA LARGE,305.0,10247.69
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,1 SHOT DECAFE,523.0,0.0
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,2 SHOT DECAFE,765.0,0.0
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,3 SHOT DECAFE,140.0,0.0
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD MOCHA LARGE,64.0,2188.14
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD MOCHA MEDIUM,101.0,3425.8
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,STRAWBERRY DRIZZLE TOPPING,49.0,1610.69
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD TOFFEE NUT SMALL,5.0,120.12
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD TOFFEE NUT MEDIUM,6.0,200.03
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD BANANA SAUCE SMALL,31.0,983.81
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD BANANA SAUCE MEDIUM,51.0,1613.81
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD BANANA SAUCE LARGE,6.0,393.39
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD RASPBERRY SAUCE SMALL,61.0,2033.33
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD RASPBERRY SAUCE MEDIUM,69.0,2303.33
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD RASPBERRY SAUCE LARGE,26.0,1746.67
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD MATCHA SMALL,5.0,225.23
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD MATCHA MEDIUM,1.0,54.05
Stories Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD MATCHA LARGE,3.0,186.19
Stories Bir Hasan,COLD BAR SECTION,REPLACE,REPLACE ALMOND SMALL,453.0,43617.64
Stories Bir Hasan,COLD BAR SECTION,REPLACE,REPLACE ALMOND MEDIUM,632.0,78077.59
Stories Bir Hasan,COLD BAR SECTION,REPLACE,REPLACE COCONUT SMALL,584.0,55127.46
Stories Bir Hasan,COLD BAR SECTION,REPLACE,REPLACE COCONUT MEDIUM,681.0,67769.68
Stories Bir Hasan,COLD BAR SECTION,REPLACE,REPLACE SKIMMED MILK SMALL,2445.0,0.0
Stories Bir Hasan,COLD BAR SECTION,REPLACE,REPLACE SKIMMED MILK MEDIUM,3421.0,0.0
Stories Bir Hasan,COLD BAR SECTION,REPLACE,REPLACE LACTOSE FREE SMALL,2697.0,0.0
Stories Bir Hasan,COLD BAR SECTION,REPLACE,REPLACE LACTOSE FREE MEDIUM,3069.0,0.0
Stories Bir Hasan,COLD BAR SECTION,REPLACE,REPLACE SUGAR FREE OAT MEDIUM,234.0,31192.07
Stories Bir Hasan,COLD BAR SECTION,REPLACE,REPLACE SUGAR FREE OAT SMALL,174.0,16846.67
Stories Bir Hasan,COLD BAR SECTION,REPLACE,REPLACE SUGAR FREE SOYA SMALL,65.0,6568.02
Stories Bir Hasan,COLD BAR SECTION,REPLACE,REPLACE SUGAR FREE SOYA MEDIUM,56.0,7646.73
Stories Bir Hasan,COLD BAR SECTION,REPLACE,REPLACE SUGAR FREE ALMOND SMALL,178.0,18034.32
Stories Bir Hasan,COLD BAR SECTION,REPLACE,REPLACE SUGAR FREE ALMOND MEDIUM,218.0,29540.9
Stories Bir Hasan,COLD BAR SECTION,REPLACE,REPLACE ALMOND LARGE,197.0,29879.28
Stories Bir Hasan,COLD BAR SECTION,REPLACE,REPLACE COCONUT LARGE,226.0,23896.12
Stories Bir Hasan,COLD BAR SECTION,REPLACE,REPLACE LACTOSE FREE LARGE,635.0,0.0
