branch,service_type,category,section,product_desc,qty,revenue,total_cost,total_profit,cost_pct,profit_pct
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD RASPBERRY SAUCE MEDIUM,69.0,2303.33,1087.63,1215.7,47.22,52.78
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD RASPBERRY SAUCE SMALL,61.0,2033.34,961.53,1071.81,47.29,52.71
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD SHOT,6260.5,181530.12,55471.16,126058.96,30.56,69.44
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD SKIMMED MILK,4.0,0.0,13.43,-13.43,0.0,100.0
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD TOFFEE NUT MEDIUM,6.0,200.03,95.77,104.26,47.88,52.12
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD TOFFEE NUT SMALL,5.0,120.12,59.86,60.26,49.83,50.17
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD VANILLA LARGE,405.0,13562.16,4641.21,8920.95,34.22,65.78
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD VANILLA MEDIUM,1041.0,34379.71,8133.85,26245.86,23.66,76.34
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD VANILLA SF LARGE,403.0,13469.4,5819.05,7650.35,43.2,56.8
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD VANILLA SF MEDIUM,1243.0,40685.76,12237.33,28448.43,30.08,69.92
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD VANILLA SF SMALL,935.0,30951.18,6136.72,24814.46,19.83,80.17
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD VANILLA SMALL,464.0,13250.75,2416.97,10833.78,18.24,81.76
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD WHIPPED CREAM,661.0,22951.08,5856.79,17094.29,25.52,74.48
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD WHITE MOCHA LARGE,225.0,7543.6,1933.2,5610.4,25.63,74.37
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD WHITE MOCHA MEDIUM,943.0,30878.71,6076.69,24802.02,19.68,80.32
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD WHITE MOCHA SMALL,1312.0,22219.73,5636.35,16583.38,25.37,74.63
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD YIRGACHEFFE SHOT,297.0,9986.4,2835.36,7151.04,28.39,71.61
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,BLUE NADE,278.0,74442.04,18711.72,55730.32,25.14,74.86
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,CARAMEL CREAM FRAPP LARGE,47.0,14800.99,3015.88,11785.11,20.38,79.62
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,CARAMEL CREAM FRAPP MEDIUM,231.0,62823.43,9814.53,53008.9,15.62,84.38
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,CARAMEL CREAM FRAPP SMALL,292.0,66702.43,9491.94,57210.49,14.23,85.77
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,CARAMEL FRAPP LARGE,593.0,193013.81,42481.32,150532.49,22.01,77.99
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,CARAMEL FRAPP MEDIUM,1667.0,458855.85,118382.42,340473.43,25.8,74.2
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,CARAMEL FRAPP SMALL,1184.0,277575.71,66746.01,210829.7,24.05,75.95
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,CHOCOLATE CREAM FRAP SMALL,226.0,49990.84,11676.44,38314.4,23.36,76.64
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,CHOCOLATE CREAM FRAPP LARGE,42.0,11769.34,2987.61,8781.73,25.38,74.62
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,CHOCOLATE CREAM FRAPP MEDIUM,311.0,84577.54,21406.95,63170.59,25.31,74.69
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,COFFEE FRAPP LARGE,115.0,30809.13,6953.85,23855.28,22.57,77.43
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,COFFEE FRAPPE MEDIUM,157.0,36343.45,9132.28,27211.17,25.13,74.87
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,COFFEE FRAPPE SMALL,164.0,31709.01,7840.52,23868.49,24.73,75.27
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,COLD BREW BOTTLE,325.0,45426.43,13859.25,31567.18,30.51,69.49
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,DOUBLE SHOT SHAKEN LARGE,143.0,39785.58,10472.34,29313.24,26.32,73.68
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,DOUBLE SHOT SHAKEN MEDIUM,815.0,195503.39,41774.91,153728.48,21.37,78.63
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,DOUBLE SHOT SHAKEN SMALL,990.0,133767.93,31661.6,102106.33,23.67,76.33
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ESPRESSO FRAPP LARGE,93.0,24893.21,6447.57,18445.64,25.9,74.1
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ESPRESSO FRAPP MEDIUM,440.0,101969.82,24707.6,77262.22,24.23,75.77
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ESPRESSO FRAPP SMALL,314.0,58380.9,14379.42,44001.48,24.63,75.37
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,HAZELNUT FRAPP LARGE,5.0,1410.81,351.57,1059.24,24.92,75.08
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,HAZELNUT FRAPP MEDIUM,38.0,10200.36,2584.47,7615.89,25.34,74.66
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,HAZELNUT FRAPP SMALL,12.0,2838.68,652.46,2186.22,22.98,77.02
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ICED AMERICANO LARGE,86.0,23314.04,4228.11,19085.93,18.14,81.86
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ICED AMERICANO MEDIUM,277.0,65131.15,9828.61,55302.54,15.09,84.91
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ICED AMERICANO SMALL,275.0,51122.04,6074.54,45047.5,11.88,88.12
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ICED CARAMEL MACCHIATO LARGE,285.0,90609.58,16627.27,73982.31,18.35,81.65
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ICED CARAMEL MACCHIATO MEDIUM,1273.0,349945.71,64606.37,285339.34,18.46,81.54
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ICED CARAMEL MACCHIATO SMALL,606.0,142672.61,19504.63,123167.98,13.67,86.33
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ICED CLASSIC CHOC LARGE,8.0,2521.62,488.18,2033.44,19.36,80.64
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ICED CLASSIC CHOC MEDIUM,41.0,11129.85,1866.28,9263.57,16.77,83.23
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ICED CLASSIC CHOC SMALL,30.0,6990.81,1161.65,5829.16,16.62,83.38
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ICED DOUBLE SHOT TOFFEE NUT MEDIUM,3.0,800.24,211.5,588.74,26.43,73.57
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ICED DOUBLE SHOT TOFFEE NUT SMALL,6.0,1428.42,283.41,1145.01,19.84,80.16
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ICED LATTE LARGE,487.0,136147.51,23011.76,113135.75,16.9,83.1
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ICED LATTE MEDIUM,2048.0,485830.78,83965.16,401865.62,17.28,82.72
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ICED LATTE SMALL,1404.0,209897.12,34608.42,175288.7,16.49,83.51
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ICED LEMON TEA MEDIUM,2.0,533.33,57.87,475.46,10.85,89.15
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ICED LEMON TEA SMALL,6.0,1400.0,121.58,1278.42,8.68,91.32
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ICED MATCHA LATTE LARGE,535.0,152128.65,42852.74,109275.91,28.17,71.83
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ICED MATCHA LATTE MEDIUM,1198.0,289938.76,77315.46,212623.3,26.67,73.33
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ICED MATCHA LATTE SMALL,685.0,137375.14,31323.08,106052.06,22.8,77.2
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ICED MOCHA LARGE,53.0,16562.14,3339.47,13222.67,20.16,79.84
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ICED MOCHA MEDIUM,266.0,72553.64,14049.1,58504.54,19.36,80.64
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ICED MOCHA SMALL,262.0,43218.65,8522.4,34696.25,19.72,80.28
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ICED PEACH TEA MEDIUM,148.0,36160.96,7039.62,29121.34,19.47,80.53
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ICED PEACH TEA SMALL,246.0,26173.49,8714.42,17459.07,33.29,66.71
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ICED PEACH TEA LARGE,51.0,14127.3,3124.12,11003.18,22.11,77.89
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ICED SALTED CARAMEL LATTE LARGE,47.0,15799.7,3460.68,12339.02,21.9,78.1
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ICED SALTED CARAMEL LATTE MEDIUM,221.0,61878.79,13664.17,48214.62,22.08,77.92
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ICED SALTED CARAMEL LATTE SMALL,110.0,25306.13,4362.1,20944.03,17.24,82.76
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ICED SPANISH LATTE MEDIUM,977.0,293712.65,54450.07,239262.58,18.54,81.46
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ICED SPANISH LATTE SMALL,510.0,121903.55,17965.98,103937.57,14.74,85.26
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ICED TOFFEE NUT LATTE LARGE,14.0,4667.27,1089.97,3577.3,23.35,76.65
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ICED TOFFEE NUT LATTE MEDIUM,86.0,23110.63,5728.76,17381.87,24.79,75.21
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ICED TOFFEE NUT LATTE SMALL,29.0,6896.21,1313.02,5583.19,19.04,80.96
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ICED WHITE MOCHA LARGE,386.0,118749.37,20001.2,98748.17,16.84,83.16
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ICED WHITE MOCHA MEDIUM,1512.0,411255.74,67166.05,344089.69,16.33,83.67
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ICED WHITE MOCHA SMALL,987.0,198670.81,26582.0,172088.81,13.38,86.62
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,MATCHA CREAM FRAPP SMALL,124.0,24400.36,6431.31,17969.05,26.36,73.64
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,MATCHA CREAM FRAPP LARGE,85.0,26142.58,6417.86,19724.72,24.55,75.45
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,MATCHA CREAM FRAPP MEDIUM,180.0,47568.41,12338.89,35229.52,25.94,74.06
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,MOCHA FRAPP LARGE,210.0,63433.78,15814.34,47619.44,24.93,75.07
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,MOCHA FRAPP MEDIUM,549.0,149388.71,40080.04,109308.67,26.83,73.17
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,MOCHA FRAPP SMALL,260.0,56419.16,15002.05,41417.11,26.59,73.41
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,NO WHIPPED CREAM,123.0,0.0,-1089.84,1089.84,0.0,100.0
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,REPLACE 1 SHOT YIRGACHEFFE,1852.0,121809.49,3480.83,118328.66,2.86,97.14
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,REPLACE 2 SHOT YIRGACHEFFE,1550.0,101295.8,5826.45,95469.35,5.75,94.25
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,REPLACE 3 SHOT YIRGACHEFFE,249.0,16441.5,1403.99,15037.51,8.54,91.46
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,REPLACE ALMOND LARGE,153.0,22600.3,8558.44,14041.86,37.87,62.13
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,REPLACE ALMOND MEDIUM,501.0,60742.46,21796.98,38945.48,35.88,64.12
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,REPLACE ALMOND SMALL,357.0,34112.77,11094.27,23018.5,32.52,67.48
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,REPLACE COCONUT LARGE,158.0,16211.69,9125.19,7086.5,56.29,43.71
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,REPLACE COCONUT MEDIUM,537.0,52650.67,24122.07,28528.6,45.82,54.18
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,REPLACE COCONUT SMALL,464.0,43389.93,14887.79,28502.14,34.31,65.69
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,REPLACE LACTOSE FREE LARGE,417.0,0.0,6997.78,-6997.78,0.0,100.0
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,REPLACE LACTOSE FREE MEDIUM,2217.0,0.0,28936.47,-28936.47,0.0,100.0
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,REPLACE LACTOSE FREE SMALL,2013.0,0.0,18767.03,-18767.03,0.0,100.0
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,REPLACE SKIMMED MILK LARGE,640.0,0.0,0.0,0.0,0.0,100.0
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,REPLACE SKIMMED MILK MEDIUM,2582.0,0.0,0.0,0.0,0.0,100.0
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,REPLACE SKIMMED MILK SMALL,1848.0,0.0,0.0,0.0,0.0,100.0
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,REPLACE SUGAR FREE ALMOND LARGE,51.0,8451.65,2829.99,5621.66,33.48,66.52
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,REPLACE SUGAR FREE ALMOND MEDIUM,161.0,21795.8,5955.93,15839.87,27.33,72.67
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,REPLACE SUGAR FREE ALMOND SMALL,134.0,13555.49,4130.92,9424.57,30.47,69.53
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,REPLACE SUGAR FREE OAT LARGE,43.0,7207.51,2164.78,5042.73,30.04,69.96
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,REPLACE SUGAR FREE OAT MEDIUM,175.0,23245.05,5873.44,17371.61,25.27,74.73
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,REPLACE SUGAR FREE OAT SMALL,136.0,13030.36,3803.75,9226.61,29.19,70.81
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,REPLACE SUGAR FREE SOYA LARGE,12.0,2059.31,563.85,1495.46,27.38,72.62
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,REPLACE SUGAR FREE SOYA MEDIUM,43.0,5920.24,1346.97,4573.27,22.75,77.25
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,REPLACE SUGAR FREE SOYA SMALL,52.0,5233.43,1357.42,3876.01,25.94,74.06
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,SALTED CARAMEL CREAM FRAPPE LARGE,13.0,4150.45,1169.9,2980.55,28.19,71.81
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,SALTED CARAMEL CREAM FRAPPE MEDIUM,54.0,15694.81,4239.56,11455.25,27.01,72.99
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,SALTED CARAMEL CREAM FRAPPE SMALL,18.0,4516.63,1127.24,3389.39,24.96,75.04
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,SALTED CARAMEL FRAPPE LARGE,59.0,19710.21,6355.07,13355.14,32.24,67.76
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,SALTED CARAMEL FRAPPE MEDIUM,117.0,33553.16,11259.07,22294.09,33.56,66.44
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,SALTED CARAMEL FRAPPE SMALL,59.0,14352.23,4217.63,10134.6,29.39,70.61
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,SIGNATURE ICED CHOCOLATE LARGE,2.0,618.62,210.77,407.85,34.07,65.93
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,SIGNATURE ICED CHOCOLATE MEDIUM,9.0,2486.49,785.84,1700.65,31.6,68.4
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,SIGNATURE ICED CHOCOLATE SMALL,8.0,1669.67,530.98,1138.69,31.8,68.2
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,STRAWBERRY CREAM FRAPP LARGE,109.0,32620.66,8035.95,24584.71,24.63,75.37
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,STRAWBERRY CREAM FRAPP MEDIUM,399.0,109091.41,28497.95,80593.46,26.12,73.88
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,STRAWBERRY CREAM FRAPP SMALL,498.0,109873.79,26667.85,83205.94,24.27,75.73
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,STRAWBERRY DRIZZLE TOPPING,41.0,1355.13,309.01,1046.12,22.8,77.2
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,STRAWBERRY SHAKE,2.0,660.66,302.39,358.27,45.77,54.23
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,TOFFEENUT CREAM FRAP LARGE,2.0,700.0,149.48,550.52,21.35,78.65
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,TOFFEENUT CREAM FRAP MEDIUM,6.0,1770.24,404.71,1365.53,22.86,77.14
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,TOFFEENUT CREAM FRAP SMALL,4.0,1070.26,200.97,869.29,18.78,81.22
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,TOFFEENUT FRAP LARGE,12.0,4167.57,986.53,3181.04,23.67,76.33
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,TOFFEENUT FRAP MEDIUM,32.0,9172.54,2397.5,6775.04,26.14,73.86
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,TOFFEENUT FRAP SMALL,12.0,3047.2,714.89,2332.31,23.46,76.54
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,VANILLA CREAM FRAPP LARGE,29.0,8841.29,1763.53,7077.76,19.95,80.05
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,VANILLA CREAM FRAPP MEDIUM,109.0,28588.11,6377.66,22210.45,22.31,77.69
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,VANILLA CREAM FRAPP SMALL,111.0,24297.57,4849.06,19448.51,19.96,80.04
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,VANILLA FRAP SMALL,83.0,19339.97,4400.42,14939.55,22.75,77.25
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,VANILLA FRAPP LARGE,13.0,3961.38,887.66,3073.72,22.41,77.59
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,VANILLA FRAPP MEDIUM,98.0,25877.96,6466.13,19411.83,24.99,75.01
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,WHITE MOCHA CREAM FRAPP LARGE,23.0,7002.5,1367.17,5635.33,19.52,80.48
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,WHITE MOCHA CREAM FRAPP MEDIUM,48.0,12711.11,2742.77,9968.34,21.58,78.42
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,WHITE MOCHA CREAM FRAPP SMALL,33.0,7293.24,1411.48,5881.76,19.35,80.65
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,WHITE MOCHA FRAPP LARGE,119.0,36458.59,7962.56,28496.03,21.84,78.16
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,WHITE MOCHA FRAPP MEDIUM,300.0,79584.15,19383.42,60200.73,24.36,75.64
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,WHITE MOCHA FRAPP SMALL,210.0,47929.82,10941.86,36987.96,22.83,77.17
Stories Bir Hasan,TAKE AWAY,BEVERAGES,GRAB&GO BEVERAGES,APPLE JUICE,80.0,13429.43,5237.23,8192.2,39.0,61.0
